STEPS, CRR, RB
50,0.0640777,-0.020752
51,-0.0531685,0.0565406
52,0.061414,-0.0191523
53,-0.046555,0.0541996
54,0.0588507,-0.0176894
55,-0.04059,0.0520291
56,0.0563823,-0.0163477
57,-0.0351973,0.0500113
58,0.0540035,-0.0151138
59,-0.0303115,0.0481305
60,0.0517094,-0.0139762
61,-0.0258765,0.0463733
62,0.0494954,-0.0129249
63,-0.0218437,0.0447278
64,0.047357,-0.0119512
65,-0.0181709,0.0431837
66,0.0452903,-0.0110476
67,-0.0148211,0.041732
68,0.0432915,-0.0102073
69,-0.0117621,0.0403645
70,0.041357,-0.00942451
71,-0.00896555,0.0390742
72,0.0394837,-0.00869408
73,-0.0064064,0.0378547
74,0.0376683,-0.00801138
75,-0.0040625,0.0367004
76,0.035908,-0.00737232
77,-0.00191422,0.0356061
78,0.0342001,-0.00677326
79,5.59613e-05,0.0345672
80,0.0325422,-0.00621093
81,0.00186364,0.0335798
82,0.0309318,-0.0056824
83,0.00352281,0.03264
84,0.0293667,-0.00518503
85,0.00504599,0.0317444
86,0.0278449,-0.00471643
87,0.00644446,0.0308901
88,0.0263645,-0.00427446
89,0.00772838,0.0300743
90,0.0249235,-0.00385717
91,0.00890694,0.0292943
92,0.0235204,-0.00346278
93,0.00998842,0.028548
94,0.0221533,-0.00308969
95,0.0109804,0.0278331
96,0.0208209,-0.00273641
97,0.0118896,0.0271477
98,0.0195217,-0.00240161
99,0.0127224,0.02649
100,0.0182544,-0.00208407
101,0.0134844,0.0258584
102,0.0170176,-0.00178264
103,0.0141808,0.0252514
104,0.0158101,-0.0014963
105,0.0148163,0.0246675
106,0.0146308,-0.0012241
107,0.0153952,0.0241054
108,0.0134787,-0.000965155
109,0.0159217,0.023564
110,0.0123526,-0.00071866
111,0.0163992,0.0230422
112,0.0112516,-0.000483866
113,0.0168312,0.0225388
114,0.0101749,-0.000260083
115,0.0172208,0.0220529
116,0.00912139,-4.66689e-05
117,0.0175707,0.0215837
118,0.00809039,0.00015697
119,0.0178838,0.0211303
120,0.00708108,0.000351384
121,0.0181624,0.0206918
122,0.00609269,0.000537089
123,0.0184087,0.0202677
124,0.0051245,0.00071456
125,0.0186248,0.0198571
126,0.00417584,0.000884244
127,0.0188127,0.0194595
128,0.00324605,0.00104656
129,0.0189743,0.0190742
130,0.00233451,0.00120188
131,0.019111,0.0187006
132,0.00144061,0.00135059
133,0.0192245,0.0183384
134,0.000563806,0.00149301
135,0.0193163,0.0179868
136,-0.000296458,0.00162946
137,0.0193877,0.0176456
138,-0.0011407,0.00176025
139,0.0194399,0.0173141
140,-0.00196941,0.00188565
141,0.0194741,0.0169921
142,-0.00278307,0.00200592
143,0.0194915,0.0166791
144,-0.00358212,0.00212131
145,0.0194929,0.0163747
146,-0.00436702,0.00223206
147,0.0194795,0.0160786
148,-0.00513817,0.00233837
149,0.019452,0.0157905
150,-0.00589597,0.00244047
151,0.0194113,0.01551
152,-0.00664082,0.00253853
153,0.0193582,0.0152369
154,-0.00737307,0.00263275
155,0.0192935,0.0149708
156,-0.00809308,0.00272329
157,0.0192177,0.0147115
158,-0.0088012,0.00281032
159,0.0191317,0.0144587
160,-0.00949775,0.002894
161,0.0190359,0.0142122
162,-0.010183,0.00297447
163,0.018931,0.0139717
164,-0.0108574,0.00305186
165,0.0188174,0.0137371
166,-0.0115211,0.00312632
167,0.0186958,0.0135081
168,-0.0121744,0.00319795
169,0.0185665,0.0132846
170,-0.0128176,0.00326689
171,0.0184301,0.0130662
172,-0.0134509,0.00333325
173,0.0182868,0.012853
174,-0.0140747,0.00339712
175,0.0181373,0.0126446
176,-0.0146891,0.00345861
177,0.0179817,0.0124409
178,-0.0152944,0.00351782
179,0.0178205,0.0122417
180,-0.0158908,0.00357483
181,0.0176541,0.012047
182,-0.0164785,0.00362974
183,0.0174826,0.0118565
184,-0.0170578,0.00368262
185,0.0173065,0.0116702
186,-0.0176288,0.00373356
187,0.0171259,0.0114878
188,-0.0168902,0.00378263
189,0.0169413,0.0113093
190,-0.0160018,0.00382989
191,0.0167527,0.0111345
192,-0.0151428,0.00387543
193,0.0165606,0.0109634
194,-0.0143123,0.0039193
195,0.016365,0.0107958
196,-0.0135091,0.00396157
197,0.0161662,0.0106316
198,-0.0127323,0.0040023
199,0.0159645,0.0104706
200,-0.011981,0.00404153
201,0.0157599,0.0103129
202,-0.0112543,0.00407933
203,0.0155527,0.0101583
204,-0.0105513,0.00411576
205,0.0153431,0.0100067
206,-0.00987115,0.00415084
207,0.0151312,0.00985808
208,-0.00921314,0.00418465
209,0.0149171,0.00971227
210,-0.00857648,0.00421721
211,0.0147011,0.00956923
212,-0.00796046,0.00424858
213,0.0144832,0.00942888
214,-0.00736438,0.00427879
215,0.0142637,0.00929114
216,-0.00678757,0.00430789
217,0.0140425,0.00915593
218,-0.00622939,0.00433592
219,0.0138199,0.0090232
220,-0.00568924,0.0043629
221,0.0135959,0.00889287
222,-0.00516652,0.00438888
223,0.0133707,0.00876489
224,-0.00466067,0.00441389
225,0.0131444,0.00863917
226,-0.00417115,0.00443796
227,0.012917,0.00851568
228,-0.00369742,0.00446113
229,0.0126887,0.00839434
230,-0.003239,0.00448342
231,0.0124595,0.0082751
232,-0.0027954,0.00450486
233,0.0122295,0.00815792
234,-0.00236616,0.00452548
235,0.0119988,0.00804272
236,-0.00195081,0.0045453
237,0.0117676,0.00792948
238,-0.00154895,0.00456436
239,0.0115357,0.00781813
240,-0.00116015,0.00458268
241,0.0113034,0.00770863
242,-0.000784003,0.00460027
243,0.0110706,0.00760093
244,-0.000420137,0.00461717
245,0.0108375,0.00749499
246,-6.81772e-05,0.00463339
247,0.0106041,0.00739076
248,0.000272234,0.00464896
249,0.0103705,0.00728822
250,0.000601442,0.0046639
251,0.0101367,0.0071873
252,0.000919779,0.00467822
253,0.00990271,0.00708799
254,0.00122757,0.00469195
255,0.00966866,0.00699023
256,0.00152511,0.0047051
257,0.00943456,0.00689399
258,0.00181272,0.00471769
259,0.00920045,0.00679924
260,0.00209067,0.00472974
261,0.00896639,0.00670595
262,0.00235925,0.00474127
263,0.00873241,0.00661407
264,0.00261872,0.00475228
265,0.00849854,0.00652358
266,0.00286935,0.0047628
267,0.00826482,0.00643445
268,0.00311138,0.00477284
269,0.00803129,0.00634664
270,0.00334507,0.00478242
271,0.00779798,0.00626013
272,0.00357064,0.00479154
273,0.00756491,0.00617489
274,0.00378832,0.00480023
