STEPS, LR
51,0.000253526
53,0.000234946
55,0.000218335
57,0.000203426
59,0.000189993
61,0.000177848
63,0.000166831
65,0.000156807
67,0.00014766
69,0.000139291
71,0.000131613
73,0.000124553
75,0.000118047
77,0.000112037
79,0.000106474
81,0.000101316
83,9.65238e-05
85,9.20637e-05
87,8.79057e-05
89,8.40232e-05
91,8.03923e-05
93,7.69917e-05
95,7.38025e-05
97,7.08073e-05
99,6.79909e-05
101,6.53392e-05
103,6.28397e-05
105,6.04809e-05
107,5.82524e-05
109,5.61449e-05
111,5.41497e-05
113,5.2259e-05
115,5.04657e-05
117,4.8763e-05
119,4.71452e-05
121,4.56065e-05
123,4.41419e-05
125,4.27468e-05
127,4.14167e-05
129,4.01478e-05
131,3.89364e-05
133,3.77789e-05
135,3.66723e-05
137,3.56136e-05
139,3.46001e-05
141,3.36293e-05
143,3.26987e-05
145,3.18063e-05
147,3.09499e-05
149,3.01276e-05
151,2.93377e-05
153,2.85784e-05
155,2.78482e-05
157,2.71457e-05
159,2.64694e-05
161,2.5818e-05
163,2.51905e-05
165,2.45855e-05
167,2.4002e-05
169,2.34391e-05
171,2.28958e-05
173,2.23711e-05
175,2.18643e-05
177,2.13745e-05
179,2.09009e-05
181,2.0443e-05
183,1.99999e-05
185,1.95711e-05
187,1.91559e-05
189,1.87538e-05
191,1.83642e-05
193,1.79866e-05
195,1.76206e-05
197,1.72656e-05
199,1.69213e-05
201,1.65871e-05
203,1.62627e-05
205,1.59478e-05
207,1.56419e-05
209,1.53448e-05
211,1.5056e-05
213,1.47753e-05
215,1.45024e-05
217,1.4237e-05
219,1.39788e-05
221,1.37275e-05
223,1.3483e-05
225,1.32449e-05
227,1.30131e-05
229,1.27874e-05
231,1.25674e-05
233,1.23531e-05
235,1.21442e-05
237,1.19406e-05
239,1.1742e-05
241,1.15484e-05
243,1.13595e-05
245,1.11752e-05
247,1.09954e-05
249,1.08198e-05
251,1.06484e-05
253,1.04811e-05
255,1.03177e-05
257,1.01581e-05
259,1.00021e-05
261,9.84974e-06
263,9.70082e-06
265,9.55524e-06
267,9.41293e-06
269,9.27376e-06
271,9.13764e-06
273,9.00452e-06
275,8.87429e-06
277,8.74684e-06
279,8.62214e-06
281,8.50008e-06
283,8.38059e-06
285,8.26361e-06
287,8.14905e-06
289,8.03686e-06
291,7.92698e-06
293,7.81933e-06
295,7.71385e-06
297,7.61051e-06
299,7.50923e-06
301,7.40995e-06
303,7.31262e-06
305,7.21721e-06
307,7.12364e-06
309,7.03187e-06
311,6.94188e-06
313,6.85361e-06
315,6.767e-06
317,6.68204e-06
319,6.59865e-06
321,6.51682e-06
323,6.43651e-06
325,6.35766e-06
327,6.28026e-06
329,6.20427e-06
331,6.12963e-06
333,6.05635e-06
335,5.98437e-06
337,5.91367e-06
339,5.8442e-06
341,5.77595e-06
343,5.70889e-06
345,5.64301e-06
347,5.57826e-06
349,5.51459e-06
351,5.45203e-06
353,5.39052e-06
355,5.33004e-06
357,5.27059e-06
359,5.2121e-06
361,5.15461e-06
363,5.09805e-06
365,5.04241e-06
367,4.98769e-06
369,4.93383e-06
371,4.88087e-06
373,4.82874e-06
375,4.77745e-06
377,4.72698e-06
379,4.67728e-06
381,4.62837e-06
383,4.58023e-06
385,4.53285e-06
387,4.48617e-06
389,4.44024e-06
391,4.39499e-06
393,4.35043e-06
395,4.30653e-06
397,4.26333e-06
399,4.22074e-06
401,4.1788e-06
403,4.1375e-06
405,4.09678e-06
407,4.05668e-06
409,4.01714e-06
411,3.9782e-06
413,3.93982e-06
415,3.90199e-06
417,3.86468e-06
419,3.82793e-06
421,3.79169e-06
423,3.75595e-06
425,3.72074e-06
427,3.686e-06
429,3.65176e-06
431,3.61799e-06
433,3.5847e-06
435,3.55185e-06
437,3.51945e-06
439,3.4875e-06
441,3.45598e-06
443,3.42487e-06
445,3.3942e-06
447,3.36395e-06
449,3.33405e-06
451,3.30459e-06
453,3.27553e-06
455,3.24682e-06
457,3.21851e-06
459,3.19053e-06
461,3.16295e-06
463,3.13571e-06
465,3.10884e-06
467,3.08231e-06
469,3.05608e-06
471,3.03022e-06
473,3.00467e-06
475,2.97945e-06
477,2.95455e-06
479,2.92996e-06
481,2.90566e-06
483,2.88167e-06
485,2.858e-06
487,2.83461e-06
489,2.8115e-06
491,2.78865e-06
493,2.76609e-06
495,2.7438e-06
497,2.72179e-06
499,2.70003e-06
501,2.67856e-06
503,2.65732e-06
505,2.63635e-06
507,2.6156e-06
509,2.5951e-06
511,2.57485e-06
513,2.55483e-06
515,2.53504e-06
517,2.51551e-06
519,2.49616e-06
521,2.47706e-06
523,2.45816e-06
525,2.43951e-06
527,2.42103e-06
529,2.40278e-06
531,2.38476e-06
533,2.36687e-06
535,2.34927e-06
537,2.33181e-06
539,2.31454e-06
541,2.2975e-06
543,2.2806e-06
545,2.26391e-06
547,2.24741e-06
549,2.23107e-06
551,2.21491e-06
553,2.19894e-06
555,2.18314e-06
557,2.16753e-06
559,2.15205e-06
561,2.13675e-06
563,2.12161e-06
565,2.10664e-06
567,2.0918e-06
569,2.07712e-06
571,2.06261e-06
573,2.04828e-06
575,2.03406e-06
577,2.02001e-06
579,2.00607e-06
581,1.99229e-06
583,1.97864e-06
585,1.96519e-06
587,1.95183e-06
589,1.93858e-06
591,1.92552e-06
593,1.91256e-06
595,1.89972e-06
597,1.88701e-06
599,1.87447e-06
601,1.86204e-06
603,1.84969e-06
605,1.83749e-06
607,1.82542e-06
609,1.81348e-06
611,1.80164e-06
613,1.78991e-06
615,1.77829e-06
617,1.76678e-06
619,1.75539e-06
621,1.74411e-06
623,1.73295e-06
625,1.72189e-06
627,1.71094e-06
629,1.70008e-06
631,1.68932e-06
633,1.67868e-06
635,1.66812e-06
637,1.65768e-06
639,1.64734e-06
641,1.63707e-06
643,1.6269e-06
645,1.61685e-06
647,1.60688e-06
649,1.59698e-06
651,1.58721e-06
653,1.5775e-06
655,1.56791e-06
657,1.55839e-06
659,1.54894e-06
661,1.53957e-06
663,1.53032e-06
665,1.52112e-06
667,1.51205e-06
669,1.50302e-06
671,1.49409e-06
673,1.48519e-06
675,1.47645e-06
677,1.46771e-06
679,1.45908e-06
681,1.45053e-06
683,1.44209e-06
685,1.43368e-06
687,1.42532e-06
689,1.4171e-06
691,1.40892e-06
693,1.40077e-06
695,1.39276e-06
697,1.38475e-06
699,1.37688e-06
701,1.369e-06
703,1.36125e-06
705,1.35354e-06
707,1.3459e-06
709,1.33834e-06
711,1.33082e-06
713,1.32338e-06
715,1.31596e-06
717,1.30865e-06
719,1.30138e-06
721,1.29418e-06
723,1.28701e-06
725,1.27995e-06
727,1.27294e-06
729,1.26593e-06
731,1.25902e-06
733,1.25221e-06
735,1.24541e-06
737,1.23866e-06
739,1.23197e-06
741,1.22534e-06
743,1.21872e-06
745,1.21219e-06
747,1.20572e-06
749,1.19929e-06
751,1.19293e-06
753,1.1866e-06
755,1.18031e-06
757,1.1741e-06
759,1.16791e-06
761,1.16179e-06
763,1.15573e-06
765,1.14972e-06
767,1.14371e-06
769,1.13774e-06
771,1.13185e-06
773,1.12602e-06
775,1.12021e-06
