STEP,CRR,BD
50,0.0679214,0.0222847
51,-0.0426466,0.0223904
52,0.0652302,0.0215547
53,-0.0375903,0.0216407
54,0.0627096,0.0208231
55,-0.0328471,0.0208974
56,0.0603361,0.0200739
57,-0.0286121,0.0202342
58,0.0580316,0.0193657
59,-0.0244026,0.0196342
60,0.0557773,0.0187284
61,-0.020499,0.0190156
62,0.0536098,0.0181412
63,-0.0169589,0.018461
64,0.0515163,0.0176324
65,-0.0137153,0.0180183
66,0.0495362,0.0171466
67,-0.0108013,0.0175532
68,0.0476191,0.0166991
69,-0.0081687,0.0170926
70,0.0457345,0.01632
71,-0.00563589,0.0166243
72,0.0438971,0.0159343
73,-0.00335009,0.0161957
74,0.0420915,0.0155512
75,-0.00124935,0.0157824
76,0.0403293,0.0151513
77,0.000700397,0.0154215
78,0.0386119,0.0147564
79,0.00247979,0.0150626
80,0.0369664,0.0143799
81,0.00412597,0.0147176
82,0.0353911,0.0140194
83,0.00560645,0.0143656
84,0.0338472,0.0137448
85,0.00701256,0.014078
86,0.03233,0.0134845
87,0.00830362,0.0137988
88,0.0308441,0.0132223
89,0.00946716,0.0135127
90,0.0294194,0.0129532
91,0.0105374,0.0132153
92,0.0280292,0.0127216
93,0.0115509,0.012924
94,0.0266561,0.01248
95,0.0124857,0.0126584
96,0.0253132,0.0122279
97,0.0133566,0.0123895
98,0.0240088,0.011991
99,0.014154,0.0121458
100,0.0227218,0.0117485
101,0.0148854,0.0119514
102,0.0214672,0.0114974
103,0.0155546,0.0117723
104,0.0202652,0.0112606
105,0.0161477,0.011583
106,0.0191079,0.0110548
107,0.0166737,0.0113856
108,0.0179883,0.0108822
109,0.0171379,0.0111837
110,0.0168912,0.0107162
111,0.0175662,0.0109833
112,0.0158142,0.0105509
113,0.0179476,0.0107921
114,0.0147527,0.0103808
115,0.0182923,0.0106079
116,0.0137186,0.0102148
117,0.0186071,0.0104268
118,0.0127028,0.0100521
119,0.0188825,0.0102414
120,0.011716,0.00989776
121,0.0191304,0.0100686
122,0.0107568,0.00977783
123,0.0193558,0.00990381
124,0.00980805,0.00965789
125,0.0195451,0.00974326
126,0.00887014,0.00953046
127,0.0197124,0.00957657
128,0.00795053,0.00940573
129,0.0198566,0.00941329
130,0.00705202,0.00928531
131,0.02,0.0092629
132,0.00616758,0.00916115
133,0.0201216,0.00911695
134,0.00529411,0.00904006
135,0.0202216,0.00898098
136,0.00443856,0.00892128
137,0.020291,0.00884379
138,0.00359987,0.00881371
139,0.0203359,0.0087085
140,0.00278425,0.00870574
141,0.0203624,0.00857647
142,0.00198352,0.0086071
143,0.0203784,0.00844438
144,0.00120325,0.00850517
145,0.0203803,0.00830636
146,0.000436878,0.00840722
147,0.0203657,0.00817662
148,-0.000316433,0.00830473
149,0.0203545,0.00805402
150,-0.00106223,0.00819674
151,0.0203289,0.00795906
152,-0.00180096,0.00808675
153,0.0202834,0.00787077
154,-0.0025298,0.00797763
155,0.0202217,0.00778341
156,-0.00324468,0.00787452
157,0.0201482,0.00769616
158,-0.00394742,0.00777436
159,0.0200656,0.007613
160,-0.00463975,0.00767431
161,0.0199699,0.00753194
162,-0.00531497,0.00757272
163,0.0198688,0.00745026
164,-0.00598328,0.00746744
165,0.0197606,0.00736891
166,-0.00664511,0.00736478
167,0.0196391,0.00728642
168,-0.00729876,0.00728387
169,0.0195077,0.00720714
170,-0.00794019,0.00721866
171,0.0193703,0.00712756
172,-0.00856863,0.00715314
173,0.0192297,0.00704889
174,-0.00919089,0.00708396
175,0.0190779,0.00697153
176,-0.00980039,0.00701632
177,0.0189218,0.00689405
178,-0.0104005,0.00695199
179,0.0187658,0.00681345
180,-0.0109912,0.00688604
181,0.0186029,0.00673401
182,-0.0115763,0.0068238
183,0.0184329,0.00665547
184,-0.0121523,0.00676698
185,0.0182576,0.00658032
186,-0.0127209,0.0067084
187,0.0180805,0.00650498
188,-0.0126226,0.00665418
189,0.0179039,0.00643391
190,-0.0121334,0.00659586
191,0.0177297,0.00636319
192,-0.0115791,0.00653363
193,0.0175482,0.00629528
194,-0.0109746,0.00647094
195,0.0173597,0.00623154
196,-0.0103905,0.00640689
197,0.0171679,0.00616616
198,-0.00979264,0.00634392
199,0.0169701,0.00610148
200,-0.00917151,0.00628171
201,0.0167734,0.00603375
202,-0.0085707,0.00622402
203,0.0165781,0.00596512
204,-0.00799079,0.00617074
205,0.0163808,0.00590042
206,-0.00742826,0.00611486
207,0.0161816,0.00583744
208,-0.0068857,0.0060561
209,0.0159799,0.00577697
210,-0.00635526,0.00600092
211,0.0157763,0.00571348
212,-0.0058181,0.0059491
213,0.015568,0.00565635
214,-0.00529825,0.00589744
215,0.0153608,0.00560776
216,-0.00479616,0.00584739
217,0.0151526,0.00556096
218,-0.00430759,0.00579607
219,0.0149402,0.00551324
220,-0.00383147,0.00574246
221,0.0147302,0.00546523
222,-0.00337496,0.0056875
223,0.0145187,0.00542247
224,-0.00293618,0.00563361
225,0.0143044,0.00538209
226,-0.00251045,0.00558204
227,0.0140875,0.00534151
228,-0.00210018,0.00553675
229,0.0138749,0.00530256
230,-0.00170484,0.00549006
231,0.0136592,0.00526596
232,-0.00132246,0.00544434
233,0.0134399,0.00522692
234,-0.000948459,0.00539977
235,0.01322,0.00518583
236,-0.000578553,0.00535545
237,0.0130004,0.00514419
238,-0.000220726,0.00531166
239,0.0127817,0.00510677
240,0.000124859,0.00526649
241,0.0125617,0.00506932
242,0.000457167,0.00522099
243,0.0123423,0.00503239
244,0.00077777,0.00517552
245,0.0121226,0.00499683
246,0.00108604,0.00512872
247,0.0119026,0.00496286
248,0.00138142,0.00508325
249,0.0116816,0.00493067
250,0.00166881,0.00503876
251,0.0114578,0.00489663
252,0.00195059,0.00499547
253,0.0112319,0.00485999
254,0.00223024,0.0049615
255,0.0110057,0.00482231
256,0.00250178,0.00492722
257,0.0107794,0.00478476
258,0.00276185,0.00489198
259,0.0105538,0.00474696
260,0.00301375,0.00485739
261,0.010328,0.00470961
262,0.00325711,0.00482313
263,0.010103,0.00467292
264,0.00349022,0.00478771
265,0.00987867,0.00463705
266,0.0037151,0.00475244
267,0.00965373,0.00459931
268,0.00393238,0.004718
269,0.0094298,0.00456184
270,0.00414339,0.00468297
271,0.0092072,0.00452668
272,0.00434726,0.00464802
273,0.00898669,0.0044923
274,0.00454288,0.00461505
275,0.00876518,0.00446412
276,0.00473016,0.00458109
277,0.00854262,0.004437
278,0.00491069,0.00454759
279,0.00831976,0.00440843
280,0.00508751,0.00451318
281,0.0080987,0.00437994
282,0.00525931,0.00447964
283,0.00787896,0.00435425
284,0.00542616,0.00444598
