STEP,LR
51,0.0048176
53,0.00467198
55,0.00454198
57,0.00440335
59,0.00426818
61,0.00415366
63,0.00404709
65,0.00395965
67,0.00386398
69,0.00377
71,0.00367513
73,0.00357615
75,0.00347293
77,0.00336562
79,0.00326291
81,0.00318572
83,0.00310993
85,0.00304067
87,0.00298295
89,0.00293251
91,0.00287772
93,0.00282258
95,0.00277255
97,0.00271893
99,0.00266221
101,0.00260544
103,0.00254809
105,0.00249888
107,0.00245057
109,0.00240399
111,0.0023582
113,0.00231746
115,0.00227659
117,0.00223361
119,0.00218854
121,0.0021414
123,0.00209397
125,0.00204674
127,0.00200244
129,0.00196503
131,0.00193353
133,0.00190365
135,0.00187267
137,0.00184452
139,0.00181799
141,0.00178964
143,0.00176198
145,0.00173572
147,0.00170858
149,0.00168347
151,0.00165894
153,0.00163467
155,0.00161124
157,0.00158923
159,0.00156843
161,0.00154622
163,0.00152261
165,0.00149764
167,0.00147272
169,0.0014508
171,0.00143219
173,0.00141495
175,0.00139729
177,0.00137976
179,0.00136278
181,0.00134661
183,0.00132981
185,0.00131332
187,0.00129673
189,0.0012823
191,0.0012668
193,0.00125023
195,0.00123369
197,0.00121727
199,0.00120146
201,0.00119031
203,0.00117841
205,0.00116692
207,0.0011554
209,0.00114382
211,0.0011336
213,0.00112483
215,0.00111617
217,0.00110751
219,0.00109835
221,0.00108824
223,0.00107755
225,0.00106662
227,0.00105581
229,0.00104607
231,0.00103779
233,0.00102962
235,0.00102119
237,0.00101386
239,0.00100667
241,0.000998679
243,0.000990102
245,0.000983235
247,0.000975895
249,0.00096781
251,0.000959492
253,0.000951064
255,0.000943531
257,0.000935871
259,0.000927604
261,0.000918894
263,0.000910102
265,0.000901905
267,0.000894457
269,0.000888144
271,0.000881742
273,0.000875044
275,0.000868286
277,0.000860927
279,0.000853237
281,0.000846627
283,0.000840785
285,0.000835391
287,0.000830143
289,0.000824606
291,0.00081858
293,0.000812281
295,0.000805719
297,0.000798964
299,0.000792243
301,0.000785101
303,0.000777932
