STEP,Boundary
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,57.1209
18,55.1563
19,57.1209
20,55.1563
21,57.1209
22,55.1563
23,57.1209
24,55.1563
25,57.1209
26,55.1563
27,57.1209
28,55.1563
29,57.1209
30,55.1563
31,57.1209
32,59.1555
33,57.1209
34,59.1555
35,57.1209
36,59.1555
37,57.1209
38,59.1555
39,57.1209
40,59.1555
41,57.1209
42,59.1555
43,61.2626
44,59.1555
45,61.2626
46,59.1555
47,61.2626
48,59.1555
49,61.2626
50,59.1555
51,61.2626
52,59.1555
53,61.2626
54,63.4448
55,61.2626
56,63.4448
57,61.2626
58,63.4448
59,61.2626
60,63.4448
61,61.2626
62,63.4448
63,65.7047
64,63.4448
65,65.7047
66,63.4448
67,65.7047
68,63.4448
69,65.7047
70,68.0451
71,65.7047
72,68.0451
73,65.7047
74,68.0451
75,65.7047
76,68.0451
77,70.4688
78,68.0451
79,70.4688
80,68.0451
81,70.4688
82,72.9789
83,70.4688
84,72.9789
85,70.4688
86,72.9789
87,75.5784
88,72.9789
89,75.5784
90,78.2705
91,75.5784
92,78.2705
93,81.0584
94,78.2705
95,81.0584
96,83.9457
97,86.9358
98,90.0325
99,93.2394
