STEPS,ERROR,LAMBDA
50,0.116224,0.356031
60,0.0266401,0.485034
70,-0.0506744,0.603196
80,-0.118012,0.71286
90,-0.177224,0.815631
100,-0.229762,0.912666
110,0.219529,0.00495315
120,0.178892,0.0950869
130,0.140624,0.181284
140,0.104573,0.264017
150,0.070578,0.343673
160,0.0384821,0.420571
170,0.00813718,0.494978
180,-0.0205944,0.567122
190,-0.0478391,0.637197
200,-0.0737124,0.705371
210,-0.0983191,0.771791
220,-0.121755,0.836585
230,-0.144105,0.899868
240,-0.165449,0.96174
250,0.147672,0.0226734
260,0.128661,0.0829736
270,0.110229,0.142051
280,0.092351,0.199978
290,0.0750055,0.256817
300,0.0581701,0.312629
310,0.0418237,0.367467
320,0.0259456,0.42138
330,0.0105162,0.474414
340,-0.00448339,0.526609
350,-0.0190711,0.578005
360,-0.0332639,0.628636
370,-0.0470784,0.678537
380,-0.0605298,0.727738
390,-0.0736331,0.776267
400,-0.0864022,0.824151
410,-0.0988504,0.871416
420,-0.11099,0.918084
430,-0.122834,0.964178
440,0.116282,0.00984335
450,0.10526,0.0554208
460,0.0944408,0.100463
470,0.0838193,0.144989
480,0.0733902,0.189016
490,0.0631486,0.23256
500,0.0530897,0.275637
510,0.0432088,0.318261
520,0.0335013,0.360447
530,0.0239625,0.402207
540,0.0145883,0.443554
550,0.00537429,0.4845
560,-0.00368363,0.525057
570,-0.0125895,0.565236
580,-0.0213471,0.605046
590,-0.0299603,0.644499
600,-0.0384328,0.683602
610,-0.0467681,0.722366
620,-0.0549697,0.760799
630,-0.0630409,0.798909
640,-0.0709849,0.836704
650,-0.0788049,0.874193
660,-0.0865039,0.911382
670,-0.0940849,0.948278
680,-0.101551,0.984889
690,0.0919155,0.0214383
700,0.0848048,0.0578626
710,0.0777809,0.0940122
720,0.0708424,0.129893
730,0.0639877,0.165511
740,0.0572154,0.200872
750,0.0505241,0.235982
760,0.0439122,0.270845
770,0.0373785,0.305467
780,0.0309216,0.339852
790,0.0245401,0.374006
800,0.0182326,0.407933
810,0.011998,0.441637
820,0.00583488,0.475124
830,-0.000257936,0.508396
840,-0.00628169,0.541459
850,-0.0122376,0.574315
860,-0.0181268,0.606969
870,-0.0239504,0.639425
880,-0.0297096,0.671685
890,-0.0354056,0.703755
900,-0.0410392,0.735636
910,-0.0466117,0.767332
920,-0.0521241,0.798846
930,-0.0575773,0.830182
940,-0.0629724,0.861342
950,-0.0683103,0.89233
960,-0.0735921,0.923147
970,-0.0788185,0.953798
980,-0.0839906,0.984284
990,0.0783202,0.0147336
1000,0.0733353,0.0451552
