Correlation,EFDM,Crank-Nicolson
-1,1086.74,1086.85
-0.95,1084.22,1084.33
-0.9,1081.7,1081.81
-0.85,1079.17,1079.27
-0.8,1076.64,1076.74
-0.75,1074.1,1074.2
-0.7,1071.55,1071.65
-0.65,1069.01,1069.1
-0.6,1066.46,1066.55
-0.55,1063.9,1063.99
-0.5,1061.34,1061.43
-0.45,1058.78,1058.87
-0.4,1056.21,1056.3
-0.35,1053.64,1053.72
-0.3,1051.06,1051.15
-0.25,1048.48,1048.57
-0.2,1045.9,1045.98
-0.15,1043.32,1043.4
-0.1,1040.73,1040.81
-0.05,1038.14,1038.22
0,1035.55,1035.62
0.05,1032.95,1033.03
0.1,1030.36,1030.43
0.15,1027.76,1027.83
0.2,1025.16,1025.23
0.25,1022.55,1022.62
0.3,1019.95,1020.01
0.35,1017.34,1017.41
0.4,1014.73,1014.8
0.45,1012.12,1012.19
0.5,1009.51,1009.57
0.55,1006.9,1006.96
0.6,1004.29,1004.35
0.65,1001.67,1001.73
0.7,999.057,999.116
0.75,996.442,996.501
0.8,993.827,993.884
0.85,991.211,991.268
0.9,988.595,988.651
0.95,985.979,986.034
1,983.364,983.418
