Sigma_s,EFDM,Crank-Nicolson
0.1178,1059.85,1059.87
0.1278,1053.01,1053.03
0.1378,1046.66,1046.68
0.1478,1040.74,1040.77
0.1578,1035.22,1035.26
0.1678,1030.05,1030.1
0.1778,1025.18,1025.26
0.1878,1020.59,1020.72
0.1978,1016.24,1016.43
0.2078,1012.1,1012.39
0.2178,1008.15,1008.57
0.2278,1004.37,1004.94
0.2378,1000.73,1001.5
0.2478,997.233,998.221
0.2578,993.857,995.098
0.2678,990.595,992.116
0.2778,987.439,989.264
0.2878,984.383,986.531
0.2978,981.423,983.909
0.3078,978.554,981.389
0.3178,975.774,978.963
0.3278,973.082,976.624
0.3378,970.474,974.365
0.3478,967.949,972.182
0.3578,965.506,970.068
0.3678,963.142,968.019
0.3778,nan,966.03
0.3878,nan,964.098
0.3978,nan,962.219
0.4078,nan,960.389
0.4178,nan,958.606
0.4278,nan,956.868
0.4378,nan,955.171
0.4478,nan,953.515
0.4578,nan,951.896
0.4678,nan,950.313
0.4778,nan,948.765
0.4878,nan,947.251
0.4978,nan,945.768
0.5078,nan,944.316
0.5178,nan,942.893
0.5278,nan,941.499
0.5378,nan,940.133
0.5478,nan,938.794
0.5578,nan,937.481
0.5678,nan,936.194
0.5778,nan,934.931
0.5878,nan,933.692
0.5978,nan,932.476
0.6078,nan,931.284
0.6178,nan,930.113
0.6278,nan,928.964
0.6378,nan,927.836
0.6478,nan,926.729
