COV(RUSSELL & SX5E),AC1,AC2,AC3,AC4
-0.01558,0.0826,0.0415,0.0245,0.7272,
-0.01458,0.0872,0.0416,0.0261,0.7258,
-0.01358,0.0914,0.0409,0.0285,0.7169,
-0.01258,0.0895,0.0432,0.0276,0.7206,
-0.01158,0.0915,0.0442,0.0315,0.7087,
-0.01058,0.0947,0.0454,0.0288,0.714,
-0.00958,0.0988,0.0442,0.0314,0.7016,
-0.00858,0.1038,0.0417,0.0302,0.7016,
-0.00758,0.103,0.0457,0.0308,0.6961,
-0.00658,0.1006,0.0437,0.0314,0.6951,
-0.00558,0.1106,0.0458,0.0309,0.687,
-0.00458,0.106,0.0502,0.0338,0.6843,
-0.00358,0.1123,0.0544,0.0301,0.6778,
-0.00258,0.1176,0.0471,0.0351,0.6711,
-0.00158,0.117,0.0498,0.0291,0.6826,
-0.00058,0.1167,0.0531,0.0355,0.6756,
0.00042,0.1184,0.0518,0.0311,0.6701,
0.00142,0.1204,0.0509,0.0336,0.6755,
0.00242,0.1288,0.0507,0.0341,0.6654,
0.00342,0.1304,0.0516,0.0344,0.662,
0.00442,0.1253,0.0513,0.0323,0.6639,
0.00542,0.1353,0.0533,0.0363,0.6487,
0.00642,0.1321,0.0559,0.0339,0.6517,
0.00742,0.1384,0.0535,0.0364,0.6499,
0.00842,0.1351,0.0521,0.0358,0.6524,
0.00942,0.1391,0.0548,0.0373,0.6469,
0.01042,0.1441,0.0598,0.0347,0.6397,
0.01142,0.1421,0.06,0.0367,0.6377,
0.01242,0.1501,0.0611,0.0334,0.6299,
0.01342,0.1533,0.0581,0.04,0.6247,
0.01442,0.1583,0.0607,0.0374,0.624,
0.01542,0.1553,0.0582,0.0395,0.6217,
