COV(RUSSELL & ETF),PRICE
-0.019673,988.864
-0.018673,991.427
-0.017673,989.71
-0.016673,987.891
-0.015673,990.728
-0.014673,986.299
-0.013673,988.543
-0.012673,989.271
-0.011673,987.781
-0.010673,990.493
-0.009673,989.555
-0.008673,987.063
-0.007673,988.252
-0.006673,989.386
-0.005673,990.065
-0.004673,986.9
-0.003673,987.576
-0.002673,988.342
-0.001673,991.063
-0.000673,987.09
0.000327,987.777
0.001327,988.811
0.002327,987.3
0.003327,988.356
0.004327,986.73
0.005327,986.727
0.006327,987.844
0.007327,986.525
0.008327,990.476
0.009327,987.431
0.010327,991.27
0.011327,993.726
0.012327,988.504
0.013327,986.744
0.014327,989.94
0.015327,991.037
0.016327,990.416
0.017327,986.486
0.018327,990.004
