COV(RUSSELL & SX5E),PRICE
-0.01558,990.942
-0.01458,992.622
-0.01358,991.366
-0.01258,992.422
-0.01158,990.287
-0.01058,992.893
-0.00958,990.071
-0.00858,990.993
-0.00758,989.899
-0.00658,987.571
-0.00558,989.264
-0.00458,988.622
-0.00358,988.968
-0.00258,987.376
-0.00158,990.402
-0.00058,991.424
0.00042,987.535
0.00142,991.235
0.00242,990.08
0.00342,989.775
0.00442,987.276
0.00542,986.848
0.00642,987.262
0.00742,988.746
0.00842,988.181
0.00942,988.717
0.01042,988.516
0.01142,987.953
0.01242,987.331
0.01342,987.302
0.01442,988.788
0.01542,986.519
