CORR(SX5E & FOREX),PRICE
-1,988.72
-0.95,988.055
-0.9,986.842
-0.85,992.523
-0.8,988.624
-0.75,990.004
-0.7,988.277
-0.65,991.837
-0.6,987.345
-0.55,989.365
-0.5,986.972
-0.45,989.139
-0.4,988.721
-0.35,989.801
-0.3,988.246
-0.25,988.889
-0.2,989.11
-0.15,988.777
-0.1,987.819
-0.05,987.169
0,988.535
0.05,989.406
0.1,986.676
0.15,986.133
0.2,988.186
0.25,988.493
0.3,988.314
0.35,987.61
0.4,989.119
0.45,986.754
0.5,988.932
0.55,985.512
0.6,988.167
0.65,985.068
0.7,986.618
0.75,986.269
0.8,987.196
0.85,988.068
0.9,987.301
0.95,987.553
1,987.073
