DIV(SX5E),AC1,AC2,AC3,AC4
0.026095,0.1498,0.0613,0.0427,0.6345,
0.027095,0.147,0.063,0.0426,0.6372,
0.028095,0.15,0.0613,0.0389,0.6369,
0.029095,0.143,0.0592,0.0405,0.638,
0.030095,0.1501,0.0654,0.0403,0.6288,
0.031095,0.1465,0.0598,0.0399,0.6396,
0.032095,0.1476,0.0586,0.038,0.6398,
0.033095,0.1457,0.0603,0.0372,0.6369,
0.034095,0.1504,0.0582,0.0357,0.6449,
0.035095,0.1472,0.0607,0.0375,0.6377,
0.036095,0.1409,0.0553,0.0381,0.6496,
0.037095,0.1459,0.0547,0.0378,0.6466,
0.038095,0.1416,0.06,0.0391,0.6422,
0.039095,0.141,0.0569,0.039,0.6436,
0.040095,0.1415,0.0562,0.0351,0.6405,
0.041095,0.1444,0.0553,0.0386,0.6451,
0.042095,0.1415,0.057,0.037,0.6438,
0.043095,0.1449,0.0568,0.0357,0.6421,
0.044095,0.1412,0.0586,0.0345,0.6456,
0.045095,0.1336,0.0574,0.0372,0.6485,
0.046095,0.1378,0.0573,0.0376,0.6434,
0.047095,0.1387,0.0591,0.0347,0.6429,
0.048095,0.1417,0.0543,0.0322,0.6475,
0.049095,0.1412,0.055,0.0365,0.6474,
0.050095,0.1517,0.0563,0.0336,0.6379,
0.051095,0.1404,0.0531,0.0357,0.6472,
0.052095,0.1388,0.0536,0.0353,0.6516,
0.053095,0.1406,0.0521,0.0342,0.6535,
0.054095,0.1405,0.0566,0.035,0.6416,
0.055095,0.134,0.0553,0.0368,0.6528,
0.056095,0.146,0.0532,0.0319,0.6483,
0.057095,0.1378,0.0536,0.0373,0.6498,
0.058095,0.1384,0.0514,0.0325,0.6515,
0.059095,0.1384,0.0543,0.0336,0.6477,
0.060095,0.1358,0.0515,0.0353,0.6559,
0.061095,0.129,0.0525,0.0352,0.6553,
0.062095,0.1345,0.0533,0.0339,0.6503,
0.063095,0.1368,0.054,0.0316,0.6476,
0.064095,0.13,0.0528,0.0351,0.6557,
0.065095,0.1338,0.0561,0.0332,0.6485,
0.066095,0.1365,0.0494,0.0348,0.6472,
0.067095,0.1362,0.0558,0.0354,0.6452,
0.068095,0.135,0.0523,0.0311,0.6515,
0.069095,0.1383,0.0535,0.0318,0.6497,
0.070095,0.129,0.0507,0.0344,0.6515,
0.071095,0.1288,0.0497,0.032,0.6634,
0.072095,0.1287,0.0488,0.031,0.6628,
0.073095,0.1249,0.0486,0.0352,0.6619,
0.074095,0.1261,0.0522,0.0313,0.6496,
0.075095,0.1344,0.0505,0.0331,0.6529,
0.076095,0.1272,0.0516,0.0313,0.6574,
0.077095,0.1233,0.0524,0.0318,0.6565,
0.078095,0.127,0.052,0.0304,0.6552,
0.079095,0.1205,0.0468,0.031,0.667,
0.080095,0.13,0.0497,0.0315,0.6547,
0.081095,0.1252,0.0494,0.031,0.6588,
0.082095,0.1262,0.0482,0.0311,0.6594,
0.083095,0.1288,0.0462,0.0305,0.6566,
0.084095,0.1288,0.052,0.0296,0.6571,
0.085095,0.1208,0.0516,0.0306,0.6601,
