DIV(SX5E),PRICE
0.026095,992.378
0.027095,993.013
0.028095,992.035
0.029095,989.581
0.030095,991.118
0.031095,991.86
0.032095,990.654
0.033095,989.343
0.034095,993.082
0.035095,990.405
0.036095,990.944
0.037095,991.636
0.038095,990.731
0.039095,989.377
0.040095,986.748
0.041095,990.814
0.042095,989.355
0.043095,988.961
0.044095,989.213
0.045095,988.442
0.046095,988.06
0.047095,987.807
0.048095,987.712
0.049095,989.528
0.050095,988.859
0.051095,988.481
0.052095,989.305
0.053095,990.267
0.054095,987.506
0.055095,989.555
0.056095,989.666
0.057095,989.23
0.058095,987.373
0.059095,987.572
0.060095,989.216
0.061095,986.621
0.062095,986.716
0.063095,985.966
0.064095,987.295
0.065095,986.621
0.066095,984.994
0.067095,986.936
0.068095,986.047
0.069095,986.873
0.070095,984.421
0.071095,987.797
0.072095,986.817
0.073095,986.632
0.074095,981.627
0.075095,986.366
0.076095,985.423
0.077095,984.188
0.078095,984.318
0.079095,985.019
0.080095,984.561
0.081095,984.322
0.082095,984.102
0.083095,982.688
0.084095,985.063
0.085095,983.522
