VOL(SX5E),AC1,AC2,AC3,AC4
0.1236,0.143,0.0531,0.0367,0.6418,
0.1336,0.1442,0.0595,0.0348,0.6377,
0.1436,0.1409,0.0602,0.0356,0.645,
0.1536,0.1317,0.055,0.0369,0.654,
0.1636,0.1368,0.0574,0.037,0.6427,
0.1736,0.1405,0.0575,0.0361,0.6468,
0.1836,0.1353,0.0556,0.0345,0.6508,
0.1936,0.1381,0.0536,0.0341,0.645,
0.2036,0.1409,0.0536,0.0338,0.6468,
0.2136,0.1288,0.0556,0.0324,0.6599,
0.2236,0.1308,0.0533,0.034,0.6529,
0.2336,0.1352,0.0495,0.035,0.6505,
0.2436,0.1347,0.0537,0.0368,0.6479,
0.2536,0.1286,0.0514,0.0338,0.6594,
0.2636,0.1305,0.0501,0.0289,0.6618,
0.2736,0.1305,0.049,0.0301,0.6579,
0.2836,0.1296,0.0498,0.0309,0.6548,
0.2936,0.126,0.0462,0.0293,0.6657,
0.3036,0.1246,0.0528,0.0306,0.6579,
0.3136,0.1261,0.0471,0.0301,0.6603,
0.3236,0.1214,0.0494,0.0291,0.6609,
0.3336,0.125,0.0455,0.0292,0.6572,
0.3436,0.1231,0.0451,0.0296,0.6587,
0.3536,0.1153,0.0422,0.0289,0.6661,
0.3636,0.1153,0.0447,0.0281,0.6732,
0.3736,0.1164,0.0444,0.0249,0.6694,
0.3836,0.1145,0.048,0.0293,0.6605,
0.3936,0.113,0.0439,0.0277,0.6624,
0.4036,0.1107,0.0386,0.0244,0.6704,
0.4136,0.1074,0.0436,0.0235,0.6661,
0.4236,0.1082,0.041,0.0206,0.6644,
0.4336,0.0988,0.0381,0.0243,0.6765,
0.4436,0.1029,0.0404,0.0232,0.668,
0.4536,0.1063,0.0359,0.0212,0.6588,
0.4636,0.0992,0.0324,0.0221,0.6707,
