VOL(RUSSELL),AC1,AC2,AC3,AC4
0.1395,0.1391,0.0586,0.0378,0.6481,
0.1495,0.1438,0.0544,0.0381,0.6378,
0.1595,0.1395,0.0603,0.0347,0.6414,
0.1695,0.1409,0.0556,0.0376,0.6429,
0.1795,0.1434,0.0559,0.0325,0.6525,
0.1895,0.1373,0.0565,0.0379,0.646,
0.1995,0.1331,0.0562,0.0368,0.6515,
0.2095,0.1392,0.0547,0.0354,0.6467,
0.2195,0.1305,0.0549,0.0342,0.6514,
0.2295,0.1325,0.0527,0.0327,0.653,
0.2395,0.1365,0.0511,0.0355,0.6514,
0.2495,0.1391,0.0548,0.034,0.6477,
0.2595,0.1396,0.0524,0.0306,0.6564,
0.2695,0.1362,0.0538,0.0342,0.6535,
0.2795,0.1352,0.0532,0.0313,0.6497,
0.2895,0.1268,0.0538,0.0322,0.6572,
0.2995,0.1329,0.0573,0.0303,0.6543,
0.3095,0.1282,0.0495,0.0321,0.6587,
0.3195,0.1296,0.0523,0.0341,0.6572,
0.3295,0.1284,0.0534,0.0353,0.6486,
0.3395,0.1297,0.0488,0.0359,0.6576,
0.3495,0.1259,0.052,0.0289,0.6615,
0.3595,0.1283,0.0491,0.0312,0.6615,
0.3695,0.1284,0.0485,0.0301,0.6534,
0.3795,0.1224,0.0464,0.0315,0.6635,
0.3895,0.1161,0.0446,0.0325,0.666,
0.3995,0.1251,0.0515,0.0288,0.6511,
0.4095,0.1153,0.0502,0.031,0.659,
0.4195,0.1229,0.0445,0.0345,0.6462,
0.4295,0.1127,0.0444,0.0294,0.6693,
0.4395,0.1163,0.0448,0.029,0.6612,
0.4495,0.1102,0.0442,0.0257,0.6648,
0.4595,0.1128,0.0412,0.0269,0.6683,
0.4695,0.1152,0.0431,0.0246,0.6638,
0.4795,0.1077,0.041,0.0281,0.6548,
0.4895,0.1045,0.0404,0.0252,0.6644,
0.4995,0.1111,0.0415,0.0266,0.6603,
0.5095,0.106,0.0417,0.0232,0.6688,
0.5195,0.1006,0.035,0.0246,0.6689,
0.5295,0.106,0.0378,0.0223,0.6579,
