VOL(ETF),PRICE
0.2329,992.232
0.2429,991.071
0.2529,989.383
0.2629,987.849
0.2729,988.516
0.2829,991.517
0.2929,987.665
0.3029,985.92
0.3129,984.51
0.3229,986.315
0.3329,984.681
0.3429,982.162
0.3529,983.147
0.3629,981.283
0.3729,982.815
0.3829,981.741
0.3929,980.262
0.4029,977.604
0.4129,973.832
0.4229,973.777
0.4329,972.721
0.4429,971.334
0.4529,971.576
0.4629,967.297
0.4729,966.227
0.4829,964.49
0.4929,962.93
0.5029,959.105
0.5129,957.224
0.5229,958.293
0.5329,954.058
0.5429,950.871
0.5529,950.046
0.5629,949.962
0.5729,943.899
0.5829,946.111
0.5929,939.309
0.6029,937.247
0.6129,929.688
0.6229,933.887
