VOL(SX5E),PRICE
0.1236,987.257
0.1336,987.727
0.1436,990.167
0.1536,988.849
0.1636,986.845
0.1736,990.178
0.1836,988.286
0.1936,986.373
0.2036,987.73
0.2136,988.791
0.2236,986.68
0.2336,985.749
0.2436,987.095
0.2536,987.649
0.2636,986.892
0.2736,985.346
0.2836,984.293
0.2936,985.408
0.3036,985.016
0.3136,983.715
0.3236,982.751
0.3336,981.226
0.3436,981.477
0.3536,979.99
0.3636,983.293
0.3736,980.996
0.3836,979.504
0.3936,977.568
0.4036,977.084
0.4136,974.997
0.4236,972.858
0.4336,974.379
0.4436,973.477
0.4536,968.347
0.4636,969.434
