VOL(RUSSELL),PRICE
0.1395,990.701
0.1495,986.847
0.1595,987.782
0.1695,988.069
0.1795,991.396
0.1895,989.09
0.1995,989.08
0.2095,988.005
0.2195,986.305
0.2295,986.196
0.2395,987.808
0.2495,988.002
0.2595,989.321
0.2695,988.851
0.2795,985.419
0.2895,985.906
0.2995,987.668
0.3095,985.601
0.3195,987.249
0.3295,984.209
0.3395,987.123
0.3495,986.004
0.3595,986.558
0.3695,982.246
0.3795,983.883
0.3895,982.399
0.3995,980.755
0.4095,980.656
0.4195,977.496
0.4295,981.469
0.4395,979.152
0.4495,976.982
0.4595,979.317
0.4695,978.018
0.4795,971.241
0.4895,972.686
0.4995,974.405
0.5095,974.955
0.5195,971.003
0.5295,968.254
